time,event,customer_id,queue_length,busy_servers,system_size
4735.755623139425,departure,4302,6,1,7
4735.755623139425,service_start,4303,5,2,7
4735.862201499102,departure,4303,5,1,6
4735.862201499102,service_start,4304,4,2,6
4737.170055068915,departure,4298,4,1,5
4737.170055068915,service_start,4305,3,2,5
4737.197327686464,departure,4304,3,1,4
4737.197327686464,service_start,4306,2,2,4
4737.6431357816455,arrival,4309,3,2,5
4737.6798095348995,arrival,4310,4,2,6
4738.262232296234,departure,4305,4,1,5
4738.262232296234,service_start,4307,3,2,5
4739.369570990731,departure,4307,3,1,4
4739.369570990731,service_start,4308,2,2,4
4739.948707067347,departure,4306,2,1,3
4739.948707067347,service_start,4309,1,2,3
4740.01052427275,departure,4308,1,1,2
4740.01052427275,service_start,4310,0,2,2
4740.849808515338,departure,4309,0,1,1
4742.878867089361,arrival,4311,0,2,2
4742.878867089361,service_start,4311,0,2,2
4745.10967519701,arrival,4312,1,2,3
4745.17374184709,departure,4311,1,1,2
4745.17374184709,service_start,4312,0,2,2
4745.321208704679,departure,4312,0,1,1
4746.886849010338,arrival,4313,0,2,2
4746.886849010338,service_start,4313,0,2,2
4748.498118770946,arrival,4314,1,2,3
4748.786684129065,arrival,4315,2,2,4
4749.426736356606,departure,4313,2,1,3
4749.426736356606,service_start,4314,1,2,3
4749.722500382507,departure,4310,1,1,2
4749.722500382507,service_start,4315,0,2,2
4750.220306481789,departure,4314,0,1,1
4752.653893034115,arrival,4316,0,2,2
4752.653893034115,service_start,4316,0,2,2
4752.738198913978,departure,4316,0,1,1
4752.776207359622,arrival,4317,0,2,2
4752.776207359622,service_start,4317,0,2,2
4753.749841416742,arrival,4318,1,2,3
4754.136701834613,arrival,4319,2,2,4
4754.408447796429,arrival,4320,3,2,5
4754.850750058766,departure,4315,3,1,4
4754.850750058766,service_start,4318,2,2,4
4756.355186540075,departure,4318,2,1,3
4756.355186540075,service_start,4319,1,2,3
4757.0947790460095,departure,4319,1,1,2
4757.0947790460095,service_start,4320,0,2,2
4757.226007671938,departure,4320,0,1,1
4757.980271995329,departure,4317,0,0,0
4758.901720888798,arrival,4321,0,1,1
4758.901720888798,service_start,4321,0,1,1
4758.991397314236,arrival,4322,0,2,2
4758.991397314236,service_start,4322,0,2,2
4759.17011728202,arrival,4323,1,2,3
4759.587163854818,arrival,4324,2,2,4
4759.777730218339,arrival,4325,3,2,5
4760.295580831863,arrival,4326,4,2,6
4760.343751933522,arrival,4327,5,2,7
4760.5673857567635,arrival,4328,6,2,8
4762.649136120428,arrival,4329,7,2,9
4763.1124948272145,departure,4321,7,1,8
4763.1124948272145,service_start,4323,6,2,8
4764.432003534738,departure,4322,6,1,7
4764.432003534738,service_start,4324,5,2,7
4765.080319260549,arrival,4330,6,2,8
4765.497873685409,arrival,4331,7,2,9
4765.568070430078,arrival,4332,8,2,10
4766.388647659576,arrival,4333,9,2,11
4766.862627039088,arrival,4334,10,2,12
4767.083471530053,arrival,4335,11,2,13
4767.195734707187,arrival,4336,12,2,14
4767.648288745668,departure,4323,12,1,13
4767.648288745668,service_start,4325,11,2,13
4767.659645771005,departure,4325,11,1,12
4767.659645771005,service_start,4326,10,2,12
4767.842475739792,arrival,4337,11,2,13
4767.928276779564,arrival,4338,12,2,14
4768.080876158371,departure,4326,12,1,13
4768.080876158371,service_start,4327,11,2,13
4768.11451188262,arrival,4339,12,2,14
4768.499868424295,arrival,4340,13,2,15
4768.682202217927,arrival,4341,14,2,16
4768.784492077697,arrival,4342,15,2,17
4768.932920086201,departure,4327,15,1,16
4768.932920086201,service_start,4328,14,2,16
4769.72464505073,arrival,4343,15,2,17
4770.7412513755435,departure,4328,15,1,16
4770.7412513755435,service_start,4329,14,2,16
4771.540821820819,departure,4329,14,1,15
4771.540821820819,service_start,4330,13,2,15
4771.545064605167,arrival,4344,14,2,16
4772.940132650464,departure,4324,14,1,15
4772.940132650464,service_start,4331,13,2,15
4773.130260752094,arrival,4345,14,2,16
4773.789334336978,arrival,4346,15,2,17
4773.9693155278,arrival,4347,16,2,18
4773.970910019918,arrival,4348,17,2,19
4775.075879932586,departure,4330,17,1,18
4775.075879932586,service_start,4332,16,2,18
4775.954676232924,departure,4332,16,1,17
4775.954676232924,service_start,4333,15,2,17
4776.226147479018,departure,4331,15,1,16
4776.226147479018,service_start,4334,14,2,16
4776.2658977366145,arrival,4349,15,2,17
4777.109173908462,arrival,4350,16,2,18
4777.825862725274,arrival,4351,17,2,19
4778.344162022478,arrival,4352,18,2,20
4778.496393280501,departure,4334,18,1,19
4778.496393280501,service_start,4335,17,2,19
4778.986650331753,departure,4333,17,1,18
4778.986650331753,service_start,4336,16,2,18
4779.128314044626,arrival,4353,17,2,19
4779.8804940214895,departure,4336,17,1,18
4779.8804940214895,service_start,4337,16,2,18
4780.128778470148,departure,4335,16,1,17
4780.128778470148,service_start,4338,15,2,17
4780.555538031342,departure,4337,15,1,16
4780.555538031342,service_start,4339,14,2,16
4780.63458077089,departure,4339,14,1,15
4780.63458077089,service_start,4340,13,2,15
4781.201129035453,departure,4340,13,1,14
